ENTRY AUDIT — Nimitz Graybook Vol. I
========================================================================
                                    BEFORE  AFTER (displayed)
                                (raw JSON)       (entries.js)
------------------------------------------------------------------------
Clean (0 flags)                    23 (10%)       115 (51%)
Minor issues (1–2 flags)          204 (90%)       112 (49%)
Significant (3+ flags)              0 (0%)         0 (0%)
------------------------------------------------------------------------
Avg words / entry                     1040                323
Median words / entry                   264                245
Max words / entry                    22884               1000

Thresholds: OCR > 5  |  short < 100w  |  frags > 30% paras under 10 words
Columns: date  words  ocr  frags  [flags]

CLEAN  (115 entries — no flags — display-ready)
------------------------------------------------------------------------
  1942-06-24  words: 431  ocr:  3  frags:  0%  [—]
  1942-06-26  words: 101  ocr:  3  frags:  0%  [—]
  1942-06-27  words: 176  ocr:  2  frags:  0%  [—]
  1942-07-01  words: 298  ocr:  3  frags:  0%  [—]
  1942-07-11  words:1000  ocr:  4  frags:  0%  [—]
  1942-07-13  words: 145  ocr:  0  frags:  0%  [—]
  1942-07-15  words: 197  ocr:  4  frags:  0%  [—]
  1942-07-18  words: 701  ocr:  5  frags:  0%  [—]
  1942-07-19  words: 227  ocr:  5  frags:  0%  [—]
  1942-07-20  words: 230  ocr:  5  frags:  0%  [—]
  1942-07-21  words: 271  ocr:  4  frags:  0%  [—]
  1942-07-22  words: 227  ocr:  3  frags:  0%  [—]
  1942-07-24  words: 235  ocr:  2  frags:  0%  [—]
  1942-07-28  words: 210  ocr:  5  frags:  0%  [—]
  1942-08-01  words: 215  ocr:  3  frags:  0%  [—]
  1942-08-04  words: 428  ocr:  1  frags:  0%  [—]
  1942-08-10  words: 280  ocr:  4  frags:  0%  [—]
  1942-08-12  words: 184  ocr:  5  frags:  0%  [—]
  1942-08-13  words: 292  ocr:  4  frags:  0%  [—]
  1942-08-22  words: 207  ocr:  1  frags:  0%  [—]
  1942-08-24  words: 470  ocr:  3  frags:  0%  [—]
  1942-08-27  words: 149  ocr:  0  frags:  0%  [—]

MINOR ISSUES  (112 entries — 1–2 flags — readable but imperfect)
------------------------------------------------------------------------
  1941-12-16  words:  68  ocr:  0  frags:  0%  [too_short=68w]
  1941-12-23  words:  59  ocr:  3  frags:  0%  [too_short=59w]
  1941-12-24  words:1000  ocr:  6  frags:  0%  [ocr_score=6]
  1941-12-25  words:  11  ocr:  0  frags:  0%  [too_short=11w]
  1941-12-26  words:  48  ocr:  0  frags:  0%  [too_short=48w]
  1941-12-28  words:  68  ocr:  1  frags:  0%  [too_short=68w]
  1942-01-01  words:  78  ocr:  0  frags:  0%  [too_short=78w]
  1942-01-02  words:   9  ocr:  0  frags:100%  [too_short=9w, frag_paras=1/1=100%]
  1942-01-06  words:  87  ocr:  0  frags:  0%  [too_short=87w]
  1942-01-07  words:  78  ocr:  1  frags:  0%  [too_short=78w]
  1942-01-08  words:  66  ocr:  0  frags:  0%  [too_short=66w]
  1942-01-09  words:  57  ocr:  3  frags:  0%  [too_short=57w]
  1942-01-11  words: 104  ocr:  1  frags: 55%  [frag_paras=6/11=55%]
  1942-01-12  words:  63  ocr:  0  frags:  0%  [too_short=63w]
  1942-01-13  words:  74  ocr:  0  frags:  0%  [too_short=74w]
  1942-01-14  words:  62  ocr:  0  frags:  0%  [too_short=62w]
  1942-01-15  words:  36  ocr:  0  frags:  0%  [too_short=36w]
  1942-01-21  words:1000  ocr: 29  frags:  0%  [ocr_score=29]
  1942-01-24  words: 917  ocr:  8  frags:  0%  [ocr_score=8]
  1942-01-27  words: 898  ocr:  8  frags: 65%  [ocr_score=8, frag_paras=62/95=65%]
  1942-01-28  words: 370  ocr:  6  frags:  0%  [ocr_score=6]
  1942-01-31  words: 295  ocr:  3  frags: 67%  [frag_paras=28/42=67%]
  1942-02-01  words:  76  ocr:  2  frags:  0%  [too_short=76w]
  1942-02-03  words:  15  ocr:  0  frags:  0%  [too_short=15w]
  1942-02-06  words: 411  ocr: 10  frags:  0%  [ocr_score=10]
  1942-02-07  words:  30  ocr:  0  frags:  0%  [too_short=30w]
  1942-02-09  words: 195  ocr:  5  frags: 68%  [frag_paras=15/22=68%]
  1942-02-13  words: 267  ocr:  7  frags: 25%  [ocr_score=7]
  1942-02-15  words: 350  ocr:  4  frags: 53%  [frag_paras=19/36=53%]
  1942-02-21  words: 730  ocr: 11  frags:  0%  [ocr_score=11]
  1942-02-24  words: 298  ocr:  7  frags: 34%  [ocr_score=7, frag_paras=11/32=34%]
  1942-03-03  words: 422  ocr: 10  frags:  0%  [ocr_score=10]
  1942-03-04  words: 466  ocr:  7  frags:  0%  [ocr_score=7]
  1942-03-06  words: 249  ocr:  7  frags:  0%  [ocr_score=7]
  1942-03-07  words: 393  ocr:  6  frags: 65%  [ocr_score=6, frag_paras=30/46=65%]
  1942-03-10  words: 527  ocr:  6  frags: 56%  [ocr_score=6, frag_paras=32/57=56%]
  1942-03-11  words: 245  ocr:  6  frags:  0%  [ocr_score=6]
  1942-03-12  words: 213  ocr:  7  frags:  0%  [ocr_score=7]
  1942-03-13  words: 407  ocr: 11  frags:  0%  [ocr_score=11]
  1942-03-16  words: 424  ocr:  7  frags:  0%  [ocr_score=7]
  1942-03-17  words: 375  ocr:  8  frags:  0%  [ocr_score=8]
  1942-03-19  words:1000  ocr:  9  frags:  0%  [ocr_score=9]
  1942-03-20  words: 245  ocr:  7  frags:  0%  [ocr_score=7]
  1942-03-22  words:  88  ocr:  0  frags: 64%  [too_short=88w, frag_paras=7/11=64%]
  1942-03-23  words: 314  ocr: 11  frags:  0%  [ocr_score=11]
  1942-03-25  words: 541  ocr:  8  frags:  0%  [ocr_score=8]
  1942-03-27  words:  84  ocr:  5  frags: 83%  [too_short=84w, frag_paras=10/12=83%]
  1942-03-29  words: 205  ocr:  2  frags: 45%  [frag_paras=9/20=45%]
  1942-03-30  words: 269  ocr:  7  frags: 58%  [ocr_score=7, frag_paras=18/31=58%]
  1942-03-31  words: 248  ocr:  7  frags:  0%  [ocr_score=7]
  1942-04-02  words: 414  ocr:  8  frags:  0%  [ocr_score=8]
  1942-04-04  words: 330  ocr:  6  frags:  0%  [ocr_score=6]
  1942-04-08  words: 785  ocr:  5  frags: 54%  [frag_paras=46/85=54%]
