OCR Corrections — 2515 substitutions across 246 entries
========================================================================
DATE         RULE             ORIGINAL                     CORRECTED
1941-12-29   hyphen_join      con-nection                  connection
1941-12-30   stray_symbol     infon~ation                  infonation
1942-01-01   hyphen_join      be-ginning                   beginning
1942-01-01   hyphen_join      opera-tion                   operation
1942-01-01   hyphen_join      with-drawn                   withdrawn
1942-01-01   hyphen_join      apparent-ly                  apparently
1942-01-02   phrase_norm      Cominch                      COMINCH
1942-01-02   phrase_norm      Cominch                      COMINCH
1942-01-02   hyphen_join      out-lying                    outlying
1942-01-02   hyphen_join      return-ing                   returning
1942-01-02   hyphen_join      com-munications              communications
1942-01-02   hyphen_join      out-lying                    outlying
1942-01-02   hyphen_join      expedi-tion                  expedition
1942-01-02   hyphen_join      avail-able                   available
1942-01-02   hyphen_join      oper-ations                  operations
1942-01-02   hyphen_join      inves-tigate                 investigate
1942-01-03   hyphen_join      Be-sides                     Besides
1942-01-03   symbol_repair    Fl~t                         Flat
1942-01-04   phrase_norm      Cominch                      COMINCH
1942-01-04   hyphen_join      detach-ing                   detaching
1942-01-04   hyphen_join      in-formed                    informed
1942-01-04   hyphen_join      exer-cise                    exercise
1942-01-05   phrase_norm      Cominch                      COMINCH
1942-01-06   symbol_repair    tak\s                        takes
1942-01-07   phrase_norm      Cominch                      COMINCH
1942-01-07   symbol_repair    ta~s                         taas
1942-01-07   symbol_repair    f~ces                        faces
1942-01-08   phrase_norm      Cominch                      COMINCH
1942-01-08   hyphen_join      indi-cated                   indicated
1942-01-08   hyphen_join      strat-egic                   strategic
1942-01-08   hyphen_join      possi-ble                    possible
1942-01-08   hyphen_join      adminis-tration              administration
1942-01-08   hyphen_join      com-ponent                   component
1942-01-08   hyphen_join      attach-ment                  attachment
1942-01-08   hyphen_join      avail-able                   available
1942-01-08   hyphen_join      com-position                 composition
1942-01-08   hyphen_join      con-sidered                  considered
1942-01-08   hyphen_join      effec-tive                   effective
1942-01-08   hyphen_join      expe-dition                  expedition
1942-01-08   hyphen_join      oper-ation                   operation
1942-01-08   hyphen_join      con-stitute                  constitute
1942-01-08   hyphen_join      com-plicate                  complicate
1942-01-08   hyphen_join      divi-sions                   divisions
1942-01-08   hyphen_join      addi-tional                  additional
1942-01-08   hyphen_join      addi-tional                  additional
1942-01-08   hyphen_join      com-bined                    combined
1942-01-08   hyphen_join      sacri-fice                   sacrifice
1942-01-08   hyphen_join      anti-submarine               antisubmarine
1942-01-08   hyphen_join      desti-nation                 destination
1942-01-08   hyphen_join      refuel-ing                   refueling
1942-01-08   hyphen_join      communi-cations              communications
1942-01-08   hyphen_join      pro-duce                     produce
1942-01-08   hyphen_join      comparative-ly               comparatively
1942-01-08   hyphen_join      offen-sive                   offensive
1942-01-08   hyphen_join      hav-ing                      having
1942-01-08   hyphen_join      protec-tion                  protection
1942-01-08   stray_punct_prefix .vell                        vell
1942-01-08   symbol_repair    F~OM                         FrOM
1942-01-08   digit_sub        N0rthwest                    NOrthwest
1942-01-08   symbol_repair    e~t                          eat
1942-01-08   digit_sub        lo3s                         logs
1942-01-10   phrase_norm      Cominch                      COMINCH
1942-01-10   phrase_norm      Cominch                      COMINCH
1942-01-10   phrase_norm      Cominch                      COMINCH
1942-01-10   hyphen_join      dis-seminate                 disseminate
1942-01-11   phrase_norm      Cominch                      COMINCH
1942-01-11   hyphen_join      de-fenses                    defenses
1942-01-11   hyphen_join      pre-sent                     present
1942-01-11   hyphen_join      en-gine                      engine
1942-01-14   hyphen_join      In-cluding                   Including
1942-01-15   phrase_norm      Cominch                      COMINCH
1942-01-16   hyphen_join      distri-bution                distribution
1942-01-17   hyphen_join      out-lying                    outlying
1942-01-17   hyphen_join      inexperi-ence                inexperience
1942-01-18   phrase_norm      Cominch                      COMINCH
1942-01-18   phrase_norm      Cominch                      COMINCH
1942-01-18   hyphen_join      concen-tration               concentration
1942-01-19   phrase_norm      Cominch                      COMINCH
1942-01-20   phrase_norm      Cominch                      COMINCH
1942-01-20   phrase_norm      Cominch                      COMINCH
1942-01-20   phrase_norm      Cominch                      COMINCH
1942-01-20   phrase_norm      Cominch                      COMINCH
1942-01-20   phrase_norm      Cominch                      COMINCH
1942-01-20   hyphen_join      Can-ton                      Canton
1942-01-20   hyphen_join      lo-gistic                    logistic
1942-01-20   hyphen_join      sus-picious                  suspicious
1942-01-20   hyphen_join      con-siderably                considerably
1942-01-20   hyphen_join      trans-port                   transport
1942-01-20   hyphen_join      inten-sive                   intensive
1942-01-20   hyphen_join      indi-cation                  indication
1942-01-20   hyphen_join      fore-going                   foregoing
1942-01-20   hyphen_join      con-voyed                    convoyed
1942-01-21   phrase_norm      Cominch                      COMINCH
1942-01-21   phrase_norm      Cominch                      COMINCH
1942-01-21   phrase_norm      Cominch                      COMINCH
1942-01-21   phrase_norm      Cominch                      COMINCH
1942-01-22   phrase_norm      Cominch                      COMINCH
1942-01-22   phrase_norm      Cominch                      COMINCH
1942-01-22   phrase_norm      Cominch                      COMINCH
1942-01-22   hyphen_join      sea-planes                   seaplanes
1942-01-22   hyphen_join      sub-marines                  submarines
1942-01-22   hyphen_join      there-fore                   therefore
1942-01-22   hyphen_join      opera-tion                   operation
1942-01-22   hyphen_join      indef-initely                indefinitely
1942-01-22   hyphen_join      pro-tection                  protection
1942-01-22   hyphen_join      destroy-ers                  destroyers
1942-01-22   hyphen_join      sched-ules                   schedules
1942-01-22   hyphen_join      signif-icant                 significant
1942-01-22   hyphen_join      fore-going                   foregoing
1942-01-22   hyphen_join      accord-ingly                 accordingly
1942-01-22   hyphen_join      Irres-pective                Irrespective
1942-01-22   hyphen_join      separa-tion                  separation
1942-01-22   hyphen_join      pro-vide                     provide
1942-01-22   stray_punct_prefix .rea                         rea
1942-01-22   stray_punct_prefix .information                 information
1942-01-22   allcaps_prefix   "REPULSE                     REPULSE
1942-01-22   allcaps_prefix   "REPULSE                     REPULSE
1942-01-22   adjacent_join    striki ng                    striking
1942-01-22   rn_m             rn                           m
1942-01-23   phrase_norm      Cominch                      COMINCH
1942-01-23   adjacent_join    surrep titious               surreptitious
1942-01-23   stray_symbol     zl\e\4                       zle4
1942-01-24   phrase_norm      Cominch                      COMINCH
1942-01-24   hyphen_join      des-cription                 description
1942-01-25   phrase_norm      Cominch                      COMINCH
1942-01-25   hyphen_join      follow-ing                   following
1942-01-25   hyphen_join      connec-tion                  connection
1942-01-25   hyphen_join      accom-pany                   accompany
1942-01-25   hyphen_join      even-tually                  eventually
1942-01-25   hyphen_join      with-drawals                 withdrawals
1942-01-25   hyphen_join      dir-ected                    directed
1942-01-26   phrase_norm      Cominch                      COMINCH
1942-01-26   phrase_norm      Cominch                      COMINCH
1942-01-26   hyphen_join      connec-tion                  connection
1942-01-26   hyphen_join      accom-pany                   accompany
1942-01-26   hyphen_join      even-tually                  eventually
1942-01-26   hyphen_join      confer-ence                  conference
1942-01-26   hyphen_join      prob-abl                     probabl
1942-01-26   hyphen_join      with-drawals                 withdrawals
1942-01-26   hyphen_join      dir-ected                    directed
1942-01-26   adjacent_join    har dly                      hardly
1942-01-26   rn_m             rne                          me
1942-01-26   stray_symbol     v\lere                       vlere
1942-01-26   rn_m             comrnand                     command
1942-01-26   stray_symbol     SUMN~H                       SUMNH
